class,subclass,PrXs,pid,marketloss,share,freq,duration
Aviation Hull,Deductible,Excess,AH_ded_0041,1469.9659,1,2,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0041,58302.9173,1,2,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0239,30604.3586,1,4,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0239,10707.0473,1,4,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0239,512.5982,1,4,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0239,11514.0425,1,4,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0434,50000,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0434,2186.9302,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0434,1642.5786,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0434,52688.8798,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0434,3702.098,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0616,4154.893,1,2,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0616,72145.8953,1,2,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0795,20729.4,1,2,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0795,44974.2461,1,2,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0967,4691.08,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0967,59285.3453,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0967,57445.791,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_1112,1196.0624,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_1112,2229.0254,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_1112,1973.503,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_1242,11365.4822,1,5,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_1242,1255.8655,1,5,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_1242,13399.3993,1,5,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_1242,4623.2317,1,5,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_1242,20655.1179,1,5,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_1358,7535.94,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_1358,60895.5457,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_1358,16827.7181,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_1358,3621.76,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0042,5090.104333,0.9,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0042,6274.969333,0.9,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0042,6807.281889,0.9,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0042,35662.76667,0.9,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0240,7154.948,0.9,7,0.993839836
Aviation Hull,Deductible,Excess,AH_ded_0240,1122.184333,0.9,7,0.993839836
Aviation Hull,Deductible,Excess,AH_ded_0240,1154.568444,0.9,7,0.993839836
Aviation Hull,Deductible,Excess,AH_ded_0240,879.1018889,0.9,7,0.993839836
Aviation Hull,Deductible,Excess,AH_ded_0240,56064,0.9,7,0.993839836
Aviation Hull,Deductible,Excess,AH_ded_0240,12231.60889,0.9,7,0.993839836
Aviation Hull,Deductible,Excess,AH_ded_0240,10285.98933,0.9,7,0.993839836
Aviation Hull,Deductible,Excess,AH_ded_0240,7086.366667,0.9,7,0.993839836
Aviation Hull,Deductible,Excess,AH_ded_0034,2941.6841,1,1,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0427,5840.3449,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0427,16273.0437,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0427,7713.5964,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0427,12429.45,1,3,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0607,5863.5162,1,1,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0077,2136.0887,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0077,11309.4613,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0077,2531.5029,1,3,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0276,4562.0434,1,2,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0276,700000,1,2,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0276,6948.2688,1,2,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0462,2980.0858,1,2,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0462,12366.6966,1,2,0.999315537
Aviation Hull,Deductible,Excess,AH_ded_0646,629.8322,1,1,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0087,986.3437778,0.9,5,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0087,956.91,0.9,5,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0087,984.465,0.9,5,0.996577687
Aviation Hull,Deductible,Excess,AH_ded_0087,11159.64978,0.9,5,0.996577687
